登记编号,身份证号,房产编号,购买金额,购买日期,交付日期
1,3.20683E+17,1,"5,260,000.40",2019-01-22,2019-01-25
2,3.21282E+17,2,"5,461,000.00",2020-03-28,2020-03-29
3,5.10283E+17,3,"6,012,200.00",2017-05-20,2017-05-21
4,2.30227E+17,4,"10,056,000.00",2017-05-12,2017-05-13
5,4.10901E+17,5,"4,020,000.00",2021-04-30,2021-05-30
6,3.20705E+17,6,"5,560,000.00",2019-08-10,2019-08-20
7,4.40111E+17,7,"1,513,200.00",2021-07-30,2021-08-30
8,3.32529E+17,8,"4,515,300.00",2020-01-22,2020-02-22
9,4.40102E+17,9,"8,646,000.00",2011-01-22,2011-02-22
10,3.70882E+17,10,"5,100,200.00",2013-08-31,2013-10-31
11,3.20283E+17,11,"10,056,600.00",2016-03-01,2016-03-30
12,3.70911E+17,12,"6,001,000.00",2019-05-05,2019-05-21
13,3.20106E+17,13,"3,057,440.00",2018-09-21,2018-09-25
14,3.30224E+17,14,"4,215,000.00",2020-05-21,2020-05-26
15,3.32529E+17,15,"100,500.00",2019-06-21,2019-06-28
16,3.32529E+17,16,"1,510,006.00",2018-06-09,2018-06-19
17,4.40102E+17,17,"10,068,003.00",2018-07-11,2018-07-15
