登记编号,身份证号,房产编号,购买金额,购买日期,交付日期
00000001,320683198512093001,00000001,"5,260,000.40",2019-01-22,2019-01-25
00000002,321282198110275051,00000002,"5,461,000.00",2020-03-28,2020-03-29
00000003,510283198111268021,00000003,"6,012,200.00",2017-05-20,2017-05-21
00000004,230227198601300212,00000004,"10,056,000.00",2017-05-12,2017-05-13
00000005,410901198811275043,00000005,"4,020,000.00",2021-04-30,2021-05-30
00000006,320705198208021051,00000006,"5,560,000.00",2019-08-10,2019-08-20
00000007,440111198601063054,00000007,"1,513,200.00",2021-07-30,2021-08-30
00000008,332529198509040015,00000008,"4,515,300.00",2020-01-22,2020-02-22
00000009,440111198601063054,00000009,"8,646,000.00",2011-01-22,2011-02-22
00000010,370882198903184042,00000010,"5,100,200.00",2013-08-31,2013-10-31
00000011,320283198612130046,00000011,"10,056,600.00",2016-03-01,2016-03-30
00000012,370911199407226044,00000012,"6,001,000.00",2019-05-05,2019-05-21
00000013,320106198410290341,00000013,"3,057,440.00",2018-09-21,2018-09-25
00000014,330224197510040137,00000014,"4,215,000.00",2020-05-21,2020-05-26
00000015,320283198612130046,00000015,"100,500.00",2019-06-21,2019-06-28
00000016,440111198601063054,00000016,"1,510,006.00",2018-06-09,2018-06-19
00000017,440111198601063054,00000017,"10,068,003.00",2018-07-11,2018-07-15
